A,Accuracy,Recall,Precision,Train time
tokenTfidf,0.95,0.9,1.0,0.030242919921875
stopwords,0.9,1.0,0.8333333333333334,0.08200979232788086
stopwordsTfidf,0.95,1.0,0.9090909090909091,0.03295087814331055
stemming,0.9,1.0,0.8333333333333334,0.09000992774963379
stemmingTfidf,0.95,0.9,1.0,0.027146100997924805
stopNstem,0.9,1.0,0.8333333333333334,0.0693368911743164
info_gain,0.9,1.0,0.8333333333333334,0.01468801498413086
stopNstemTfidf,0.95,0.9,1.0,0.024194955825805664
token,0.9,1.0,0.8333333333333334,0.11249399185180664
