A,Accuracy,Recall,Precision,Train time
tokenTfidf,0.9,1.0,0.8333333333333334,0.5715620517730713
stopwords,0.9,0.8,1.0,0.5496160984039307
stopwordsTfidf,0.95,0.9,1.0,0.5635490417480469
stemming,0.9,0.9,0.9,0.4180440902709961
stemmingTfidf,0.9,1.0,0.8333333333333334,0.5406520366668701
stopNstem,0.9,0.9,0.9,0.48079895973205566
info_gain,0.85,0.7,1.0,0.09015393257141113
stopNstemTfidf,0.9,1.0,0.8333333333333334,0.5049870014190674
token,0.9,0.9,0.9,0.626694917678833
