A,Accuracy,Recall,Precision,Train time
tokenTfidf,0.7,0.4,1.0,0.05216789245605469
stopwords,0.7,0.6,0.75,0.0586240291595459
stopwordsTfidf,0.7,0.4,1.0,0.05155611038208008
stemming,0.85,0.8,0.8888888888888888,0.047978878021240234
stemmingTfidf,0.85,0.8,0.8888888888888888,0.05680203437805176
stopNstem,0.85,0.8,0.8888888888888888,0.05696916580200195
info_gain,0.75,0.7,0.7777777777777778,0.008568048477172852
stopNstemTfidf,0.85,0.8,0.8888888888888888,0.04703497886657715
token,0.7,0.6,0.75,0.06105995178222656
