Accuracy,Recall,Precision,Train time
1.0,0.0,0.0,13.033554792404175
1.0,0.0,0.0,13.748492956161499
1.0,0.0,0.0,13.60228705406189
1.0,0.0,0.0,13.425271987915039
1.0,0.0,0.0,12.813768863677979
1.0,0.0,0.0,12.725666046142578
1.0,0.0,0.0,12.977528095245361
1.0,0.0,0.0,1.6470539569854736
1.0,0.0,0.0,12.966259002685547
1.0,0.0,0.0,12.894731998443604
1.0,1.0,1.0,1.4141240119934082
0.8,1.0,0.7142857142857143,1.2691900730133057
0.5,0.0,0.0,1.0514070987701416
0.5,1.0,0.5,1.162700891494751
0.7,1.0,0.625,0.8044900894165039
0.5,0.6,0.5,1.046957015991211
0.65,1.0,0.5882352941176471,1.0394408702850342
0.5,0.0,0.0,1.1122639179229736
0.6,0.5,0.625,0.9398369789123535
0.95,0.9,1.0,1.1985690593719482
0.9,1.0,0.8333333333333334,3.0449531078338623
0.7,1.0,0.625,2.639101982116699
0.5,0.0,0.0,2.9442880153656006
0.5,0.0,0.0,2.8388619422912598
0.5,1.0,0.5,2.9744210243225098
0.5,0.0,0.0,3.3474671840667725
0.7,1.0,0.625,3.33457088470459
0.5,1.0,0.5,3.4075450897216797
0.65,0.5,0.7142857142857143,2.6488912105560303
0.55,1.0,0.5263157894736842,4.940057039260864
0.65,1.0,0.5882352941176471,10.342686891555786
0.65,1.0,0.5882352941176471,9.33305311203003
0.7,0.4,1.0,9.831194877624512
0.5,1.0,0.5,9.915096044540405
0.55,1.0,0.5263157894736842,8.207271099090576
0.25,0.0,0.0,9.117999076843262
0.5,0.9,0.5,9.267968893051147
0.5,1.0,0.5,8.815263986587524
0.85,1.0,0.7692307692307693,8.316982984542847
0.5,1.0,0.5,7.112942218780518
0.9,1.0,0.8333333333333334,2.4725520610809326
0.8,1.0,0.7142857142857143,3.419734001159668
0.5,0.0,0.0,2.453756093978882
0.5,0.0,0.0,3.19173002243042
0.55,1.0,0.5263157894736842,3.0834341049194336
0.3,0.0,0.0,3.1457509994506836
0.7,0.9,0.6428571428571429,2.7160351276397705
0.5,0.0,0.0,3.083709955215454
0.85,1.0,0.7692307692307693,3.1265711784362793
1.0,1.0,1.0,2.9562978744506836
0.65,1.0,0.5882352941176471,8.304611921310425
0.6,1.0,0.5555555555555556,8.464530229568481
0.6,0.2,1.0,8.083312034606934
0.5,1.0,0.5,8.703747987747192
0.55,1.0,0.5263157894736842,8.305170059204102
0.25,0.0,0.0,8.67097783088684
0.5,0.9,0.5,8.712226152420044
0.5,1.0,0.5,8.645030975341797
0.85,1.0,0.7692307692307693,8.504132986068726
0.5,1.0,0.5,7.1287291049957275
0.85,1.0,0.7692307692307693,3.227018117904663
0.85,1.0,0.7692307692307693,3.5615110397338867
0.8,0.6,1.0,3.11238694190979
0.5,0.0,0.0,3.367345094680786
0.5,1.0,0.5,3.2087459564208984
0.4,0.2,0.3333333333333333,3.4249210357666016
0.95,1.0,0.9090909090909091,3.1500370502471924
0.5,0.0,0.0,3.3524858951568604
0.85,1.0,0.7692307692307693,3.304919958114624
1.0,1.0,1.0,3.032589912414551
0.65,1.0,0.5882352941176471,9.83176302909851
0.55,1.0,0.5263157894736842,13.223097801208496
0.75,0.5,1.0,11.8160080909729
0.5,1.0,0.5,13.666815042495728
0.65,1.0,0.5882352941176471,10.775881052017212
0.4,0.1,0.25,11.63857388496399
0.5,0.9,0.5,10.054775953292847
0.5,0.0,0.0,12.113847970962524
0.85,1.0,0.7692307692307693,11.397469997406006
1.0,1.0,1.0,8.759445190429688
0.9,1.0,0.8333333333333334,5.259718179702759
0.7,1.0,0.625,4.134921073913574
0.5,0.0,0.0,3.9919629096984863
0.5,0.0,0.0,3.3875579833984375
0.25,0.0,0.0,3.5512521266937256
0.25,0.1,0.14285714285714285,3.5245511531829834
0.85,0.9,0.8181818181818182,4.008600950241089
0.5,0.0,0.0,4.1702351570129395
0.75,0.7,0.7777777777777778,3.1376399993896484
1.0,1.0,1.0,3.866213083267212
0.65,1.0,0.5882352941176471,17.34547710418701
0.55,1.0,0.5263157894736842,9.92177414894104
0.65,0.3,1.0,10.083318948745728
0.5,1.0,0.5,10.217062950134277
0.6,1.0,0.5555555555555556,12.608450889587402
0.35,0.1,0.2,12.477091073989868
0.5,0.9,0.5,11.335052967071533
0.5,0.0,0.0,12.816642999649048
0.85,1.0,0.7692307692307693,9.767387866973877
1.0,1.0,1.0,9.028100967407227
